figure_id,filename_pdf,filename_png,filename_svg,source_files,description,main_or_supplement,alignment_json,collision_audit_json,pdf_text_audit_json,collision_verdict,pdf_text_verdict
Fig_Q1_01_capacity_map,implementation/q1/figures/Fig_Q1_01_capacity_map.pdf,implementation/q1/figures/Fig_Q1_01_capacity_map.png,implementation/q1/figures/Fig_Q1_01_capacity_map.svg,implementation/q1/results/q1_capacity.csv,三种机型在 15 个服务区的最大安全载荷、能耗利用率与能量约束激活位置,main,implementation/q1/figures/Fig_Q1_01_capacity_map.alignment.json,implementation/q1/figures/Fig_Q1_01_capacity_map.collision-audit.json,implementation/q1/figures/Fig_Q1_01_capacity_map.pdf-text-audit.json,PASS,PASS
Fig_Q1_02_flight_envelope,implementation/q1/figures/Fig_Q1_02_flight_envelope.pdf,implementation/q1/figures/Fig_Q1_02_flight_envelope.png,implementation/q1/figures/Fig_Q1_02_flight_envelope.svg,implementation/q1/results/q1_physics_audit.csv;implementation/q1/results/q1_physics_energy_checks.csv,载荷相关等效航程的审计点与 O01—服务区单程距离安全包络,main,implementation/q1/figures/Fig_Q1_02_flight_envelope.alignment.json,implementation/q1/figures/Fig_Q1_02_flight_envelope.collision-audit.json,implementation/q1/figures/Fig_Q1_02_flight_envelope.pdf-text-audit.json,PASS,PASS
Fig_Q1_03_batch_plan,implementation/q1/figures/Fig_Q1_03_batch_plan.pdf,implementation/q1/figures/Fig_Q1_03_batch_plan.png,implementation/q1/figures/Fig_Q1_03_batch_plan.svg,implementation/q1/results/q1_solution_trips.csv,正式架次机型构成与质量/体积双容量利用率,main,implementation/q1/figures/Fig_Q1_03_batch_plan.alignment.json,implementation/q1/figures/Fig_Q1_03_batch_plan.collision-audit.json,implementation/q1/figures/Fig_Q1_03_batch_plan.pdf-text-audit.json,PASS,PASS
Fig_Q1_04_service_allocation,implementation/q1/figures/Fig_Q1_04_service_allocation.pdf,implementation/q1/figures/Fig_Q1_04_service_allocation.png,implementation/q1/figures/Fig_Q1_04_service_allocation.svg,implementation/q1/results/q1_service_summary.csv,15 个服务区的正式架次载荷构成与机型配置；正式架次达到理论下界,main,implementation/q1/figures/Fig_Q1_04_service_allocation.alignment.json,implementation/q1/figures/Fig_Q1_04_service_allocation.collision-audit.json,implementation/q1/figures/Fig_Q1_04_service_allocation.pdf-text-audit.json,PASS,PASS
Fig_Q1_05_method_comparison,implementation/q1/figures/Fig_Q1_05_method_comparison.pdf,implementation/q1/figures/Fig_Q1_05_method_comparison.png,implementation/q1/figures/Fig_Q1_05_method_comparison.svg,implementation/q1/results/q1_method_comparison.csv,Baseline 与 Formal 在架次、总能耗和累计作业时间上的三目标比较,main,implementation/q1/figures/Fig_Q1_05_method_comparison.alignment.json,implementation/q1/figures/Fig_Q1_05_method_comparison.collision-audit.json,implementation/q1/figures/Fig_Q1_05_method_comparison.pdf-text-audit.json,PASS,PASS
Fig_Q1_06_utilization_tradeoff,implementation/q1/figures/Fig_Q1_06_utilization_tradeoff.pdf,implementation/q1/figures/Fig_Q1_06_utilization_tradeoff.png,implementation/q1/figures/Fig_Q1_06_utilization_tradeoff.svg,implementation/q1/results/q1_solution_trips.csv,18 个正式架次的质量与体积利用率及容量边界,main,implementation/q1/figures/Fig_Q1_06_utilization_tradeoff.alignment.json,implementation/q1/figures/Fig_Q1_06_utilization_tradeoff.collision-audit.json,implementation/q1/figures/Fig_Q1_06_utilization_tradeoff.pdf-text-audit.json,PASS,PASS
Fig_Q1_07_energy_margin,implementation/q1/figures/Fig_Q1_07_energy_margin.pdf,implementation/q1/figures/Fig_Q1_07_energy_margin.png,implementation/q1/figures/Fig_Q1_07_energy_margin.svg,implementation/q1/results/q1_solution_trips.csv,18 个正式架次的单架次能量安全余量排序,main,implementation/q1/figures/Fig_Q1_07_energy_margin.alignment.json,implementation/q1/figures/Fig_Q1_07_energy_margin.collision-audit.json,implementation/q1/figures/Fig_Q1_07_energy_margin.pdf-text-audit.json,PASS,PASS
Fig_Q1_08_service_tradeoff,implementation/q1/figures/Fig_Q1_08_service_tradeoff.pdf,implementation/q1/figures/Fig_Q1_08_service_tradeoff.png,implementation/q1/figures/Fig_Q1_08_service_tradeoff.svg,implementation/q1/results/q1_service_summary.csv,服务区级累计作业时间、运输能耗与货物质量的关系,main,implementation/q1/figures/Fig_Q1_08_service_tradeoff.alignment.json,implementation/q1/figures/Fig_Q1_08_service_tradeoff.collision-audit.json,implementation/q1/figures/Fig_Q1_08_service_tradeoff.pdf-text-audit.json,PASS,PASS
Fig_Q1_09_sensitivity,implementation/q1/figures/Fig_Q1_09_sensitivity.pdf,implementation/q1/figures/Fig_Q1_09_sensitivity.png,implementation/q1/figures/Fig_Q1_09_sensitivity.svg,implementation/q1/results/q1_final.json,返航安全边界收紧下固定正式方案的违例架次敏感性,main,implementation/q1/figures/Fig_Q1_09_sensitivity.alignment.json,implementation/q1/figures/Fig_Q1_09_sensitivity.collision-audit.json,implementation/q1/figures/Fig_Q1_09_sensitivity.pdf-text-audit.json,PASS,PASS
Fig_Q1_10_lexicographic_stages,implementation/q1/figures/Fig_Q1_10_lexicographic_stages.pdf,implementation/q1/figures/Fig_Q1_10_lexicographic_stages.png,implementation/q1/figures/Fig_Q1_10_lexicographic_stages.svg,implementation/q1/results/q1_lexicographic_stages.csv,严格词典序 L1→L2→L3 的能耗与累计作业时间变化,main,implementation/q1/figures/Fig_Q1_10_lexicographic_stages.alignment.json,implementation/q1/figures/Fig_Q1_10_lexicographic_stages.collision-audit.json,implementation/q1/figures/Fig_Q1_10_lexicographic_stages.pdf-text-audit.json,PASS,PASS
